aco_num,aco_name,qualscore,qualperfshare,n_ab,n_ben_age_0_64,n_ben_age_65_74,n_ben_age_75_84,n_ben_age_85plus,n_ben_female,n_ben_male,n_ben_race_white,n_ben_race_black,n_ben_race_asian,n_ben_race_hisp,n_ben_race_native,n_ben_race_other,readm_rate_1000,prov_rate_1000,p_em_total,p_em_pcp_vis,p_em_sp_vis,p_nurse_vis,p_fqhc_rhc_vis,n_cah,n_fqhc,n_rhc,n_eta,n_fac_other,n_pcp,n_spec,n_np,n_pa,n_cns,py,aco_state,per_capita_exp_total_py,aim,met_qps,aco1,aco2,aco3,aco4,aco5,aco6,aco7,aco34,aco8,aco35,aco36,aco37,aco38,aco11,aco13,aco14,aco15,aco16,aco17,aco18,aco19,aco20,aco42,aco40,dm_comp,aco27,aco41,aco28,aco30,aco44,aco43,aco12
A67373,"Palm Beach Accountable Care Organization, LLC",100.0,50.0,36268,3178,11716,10013,5897,17789,13015,27497,2080,185.0,554.0,12.0,476,164.3737166,797.3305955,14776.18333,5253.67673699999,8814.096808,698.0697479,10.34003893,0,0,0,0,0,118,167,44,0,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A38665,"Chinese Community Accountable Care Organization, Inc.",100.0,50.0,13833,1129,4160,4393,1957,7067,4572,834,234,8922.0,102.0,2.0,1545,150.9666804,831.3451255,15622.0993,9401.238513,6059.28113399999,122.3527338,39.22692113,0,0,0,0,0,91,164,15,0,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A64796,Summit Health Solutions,100.0,50.0,40595,5508,16680,10728,4420,21051,16285,35819,978,72.0,32.0,21.0,414,130.6160742,792.8698009,10056.24207,4590.886523,4042.80906899999,1406.217245,16.32923264,0,0,0,0,11,255,200,140,2,1,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A84830,"South Florida Accountable Care Organization,LLC",100.0,50.0,6150,903,2195,2007,1045,3636,2514,4342,471,30.0,1191.0,5.0,111,195.5855304,761.4960147,13112.59056,5543.483734,6996.11177899999,544.630619,28.36442977,0,0,0,0,0,37,45,3,0,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A76261,"Hackensack Physician-Hospital Alliance ACO, LLC",100.0,50.0,16383,1399,6106,4282,2124,8328,5583,12479,598,142.0,295.0,5.0,392,159.5796676,824.7800587,12513.9900199999,4770.948069,7212.271299,526.926630899999,3.844021438,0,1,0,0,0,147,377,76,4,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A39692,"Primary Partners, LLC",100.0,50.0,8027,947,3334,2011,705,3981,3016,6051,499,50.0,237.0,11.0,149,144.2885772,798.0961924,11877.06242,5628.984088,5735.911873,478.0905753,34.0758873899999,0,0,0,0,0,21,3,3,0,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A38596,Concord Elliot ACO LLC,100.0,50.0,11955,2179,4308,2736,1441,5866,4798,10445,35,20.0,16.0,3.0,145,130.2158273,782.733813,8268.91974599999,3165.85585899999,3049.67943599999,2042.366056,11.01839621,0,0,0,0,2,303,321,143,0,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A60892,"Arizona Connected Care, LLC",100.0,50.0,8599,1436,3058,1658,707,3734,3125,5927,207,48.0,375.0,149.0,153,160.5351171,756.3306259,10417.6091099999,3565.99620499999,4590.512334,894.421252399999,1366.679317,0,23,0,0,0,194,228,122,0,0,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A58483,"AHS ACO, LLC",100.0,50.0,73694,7170,26160,17436,8800,33702,25864,54125,2501,881.0,511.0,17.0,1531,158.9244787,808.0943597,11284.78854,4012.289037,6768.881532,500.112630099999,3.505340121,0,0,0,0,0,432,940,135,9,3,2013,,,-1.0,1.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
A61599,"Florida Physicians Trust, LLC",0.0,50.0,9784,931,3235,2462,1312,4599,3341,7014,330,45.0,386.0,7.0,158,142.3655914,775.9139785,12572.06151,4387.955694,7785.611356,387.2674481,11.22701366,0,0,0,0,0,54,40,10,0,0,2013,,,-1.0,0.0,80.04776301218163,92.72430786268002,91.9629900332226,83.45861572535992,61.009147286821715,75.4664119601329,72.20662236987813,26.979623477297924,14.859778761061971,18.31917035398231,53.59275442477876,77.29184734513281,60.82612831858405,87.11310840707968,69.421184357542,70.49661452513969,71.13754189944142,72.4812849162011,90.73519553072623,57.98096089385476,63.171823266219214,68.95365771812077,78.84004469273755,7.3472931442080425,42.05067039106146,17.463597765363126,47.77977653631281,71.1219106145252,85.98244692737426,67.31947033898301,1.9344915254237287,76.23600867678952
